premise,hypothesis,gold_label,pred_label
"Map 33 shows the distribution of child (most of southern England) and of bairn (north of a slightly wavy line between Boston, on the Wash to the east, and Lancaster, on the west coast).",Bairn was the pre-eminent word in the North of England.,neutral,neutral
Bin Ladin's grievance with the United States may have started in reaction to specific U.S. policies but it quickly became far deeper.,Bin Ladin had grievances with the United States starting with U.S. foreign policy.,neutral,neutral
"It is far better for anyone to kill a single American soldier than to squander his efforts on other activities, he said.",Each dead American soldier is a waste of resources better spent elsewhere.,contradiction,entailment
"The child's mind, then, is a profoundly social organ.",The mind of a child is an organ that is social.,entailment,entailment
"The would-be killers, who came from the Egyptian Islamic Group, had been sheltered in Sudan and helped by Bin Ladin.",Bin Ladin helped the people that were planning to kill.,entailment,entailment
That is the basis of modern sewing operations in manufacturing facilities.,This does not apply to old-fashioned sewing operations.,neutral,neutral
"Please consider joining the Chairman's Roundtable with a gift of $1,000.","Donations of $1,000 or more do not offer any special benefits.",contradiction,neutral
GENI organizes teacher workshops for K-12 teachers and assists them in developing geography teaching materials for classroom use.,GENI also organizes workshops for other teaching materials. ,neutral,neutral
The Science Department is in the process of renovating the labs and other facilities in order to provide our students with science instruction that is second to none.,The Science Department is updating our labs to provide first-rate science instruction.,entailment,entailment
"Would you say that um, your mom or you dad or whoever is telling the story, tells that part of the story, the, the last part when you came to the door and she saw the glow of light, would you say that they tell that part of the story more than any other part or do they tell the whole thing from beginning to end?","Do your mom or dad, when they tell the story, tell it all fully from start to finish and give pretty equal emphasis to all parts of it, or do they focus much more on the bit near the end where you approach the door and she sees the glowing light? ",entailment,entailment
"I spent hours daydreaming and looking at old pictures of Mom, Dad, Sarah, and me. ",I looked at old movies.,contradiction,neutral
GENI organizes teacher workshops for K-12 teachers and assists them in developing geography teaching materials for classroom use.,GENI does not assist teachers at all. ,contradiction,contradiction
"For one thing, he documents many neologisms, an activity that endears him to many working lexicographers.","Despite his record of documenting neologisms, lexicographers are opposed to his methods.",contradiction,contradiction
"If the average American uses from three to five thousand different words each day, the chances are everybody in this country will use three or more Texican words.",It is likely everyone uses a Texican word every day,entailment,entailment
18 The advantage of using VMI programs stems from the retailer and manufacturer working together to determine a flow of shipments that optimizes the economics of the two parties as a system.,Many retailers work with foreign manufacturers in business.,neutral,neutral
"Because they were living in a, in an apartment basically.",They're in better housing now.,neutral,neutral
"Indeed, retailers like Wal-Mart Stores, Kmart Corporation, and Dillard's Inc. have been the driving forces behind changes in manufacturing and logistics systems in a way that was unheard of in Bond Stores' time.",Only three retailers have been the force behind changes in technology.,neutral,neutral
"Periodically, the Islamic world has seen surges of what, for want of a better term, is often labeled fundamentalism.",These periods are most evident by periods of extreme violence.,neutral,neutral
"Such fund are often used for college tuition, vocational training or a deposit on an apartment.",You may not use the funds for a deposit on an apartment.,contradiction,neutral
"Bin Ladin shares Qutb's stark view, permitting him and his followers to rationalize even unprovoked mass murder as righteous defense of an embattled faith.",There are 5 similar cases of religion-inspired mass murder.,neutral,neutral
"Bin Ladin's Historical Opportunity Most Muslims prefer a peaceful and inclusive vision of their faith, not the violent sectarianism of Bin Ladin.",Most Muslims do not interpret their faith like Bin Laden,entailment,neutral
These are dead people that are--,Dead people are like this.,neutral,entailment
"Recall how Sophie satisfied both teddy bear's and leprechaun's desire for a lollipop, when just one TinkerToy lollipop was available.",Sophie had two lollipops at her disposal.,contradiction,contradiction
"I'm opening up like five pools and they're giving me a headache because they all turned green today, so, that's like the most fun job for me.","I opened five pools just last week and when I checked today, the water was green, which was super annoying.",neutral,neutral
") Juvenal wrote his satire on Rome in the early years of the second century, during the reign of the Emperor Trajan.",Juvenal wrote about Emperor Trajan.,neutral,entailment
"When two peoples speaking different languages share a common border, there is an infiltration of words from one language to the other.",Languages are rigid and do not flow between groups.,contradiction,contradiction
These advancements simply would not have been available without contributions from alumni and friends of the school.,The alumni and friends of the school contributed. ,entailment,entailment
"Since 1977, Dr. Reinhold Aman has been publishing Maledicta , subtitled The International Journal of Verbal Aggression , from his bivouac in Waukesha, Wisconsin.",Since 1977 Dr. Aman has published a journal called Maledicta. ,entailment,entailment
When was the last time you stopped at IUPUI since you graduated?,"Since graduating, when did you last visit IUPUI?",entailment,entailment
" It took me really a long time to sort what was going on in my mind out,  she said.","My friend helped me to make sense of what was going on in my mind, she said.",neutral,neutral
"Most recently, we received results of an employment survey of 1990- 91 graduates, conducted by IUPUI's Career and Employment Services--it was pleasing to learn that we had nearly twice as many graduates as any other department in the School of Liberal Arts.",We conducted the employment survey of 1990-91 graduates. ,entailment,neutral
"After learning that United Airlines was missing a plane, American Airlines headquarters extended the ground stop nationwide.",United Airlines soon learned they were missing more than one plan.,-,neutral
Wal-Mart is the most well known of the early lean retailers.,Wal-mart is one of the best lean retailers.,neutral,neutral
"Um, not really anything unusual.",It's happened before.,neutral,neutral
"On 9/11, the terrorists turned off the transponders on three of the four hijacked aircraft.",Three of the four hijacked airplanes had their transponders turned off.,entailment,entailment
"Citing the Soviet army's withdrawal from Afghanistan as proof that a ragged army of dedicated Muslims could overcome a superpower, he told the  We are certain that we shall-with the grace of Allah-prevail over the Americans.",Soviets misinform world powers by exaggerating the power of the Muslim army.,-,neutral
These are in turn surrounded and supported by holders of school certificates and other qualifications.,Holders of school certificates provide a vital support structure.,neutral,neutral
"They assumed the fighter escort would be discreet, vectored to a position five miles directly behind the hijacked aircraft, where it could perform its mission to monitor the aircraft's flight path.","The mission was to be right behind the plane, not five miles away.",contradiction,entailment
"It is important to note also that this product was not promoted at retail with discounted prices at any time during this period, so the variation is not due to consumers preferring to purchase a product when it was  on sale. ",Customers simply noticed the product more as our marketing kicked in.,neutral,neutral
"Well, because it was really interesting stuff.",That stuff was utterly boring for me.,contradiction,contradiction
"Mr. Joseph Hymes'  Do Mistake'Learn Better  [XV,1] brought to mind the time a Japanese acquaintance told me of a friend of hers who decided to tackle the original English version of three books she had enjoyed while in Japan.",The books were first printed in Japanese.,contradiction,neutral
"As always, please feel free to visit our campus.",You have to set up an appointment before visiting,neutral,neutral
One of us will call you to discuss how your company can become an important highly visible partner with the JCC in support of our scholarship programs.,"Response times vary, but we typically are in contact within 12 hours.",neutral,neutral
"Um, Can we turn that off while I think?",I need to have a quiet space in order to think properly.,neutral,neutral
Did he ever tell you any other stories?,Did he tell you other bed time stories?,neutral,neutral
But he would indeed be feigning naivete to claim that generic man is now understood to include woman.,He is indeed naive about the generic man,contradiction,entailment
"I, I do think they read to them when they are little.",They were never told stories when they were little.,contradiction,contradiction
"As we prepare for all the events this fall, we are also looking into the future with the preparations for a new facility for the professional art school, administrative offices, faculty studios, a library and a contemporary gallery.",We haven't had time to think about the future or even prepare for Fall.,contradiction,contradiction
The problem was solved simply by using an already standard character that had a similar sound to what the Viet called themselves.,The problem remained intractable because it was impossible to substitute other characters.,contradiction,contradiction
"The soldier in charge would command, after each firing, that the rank on the scaffold step down and be replaced by the rank that had just reloaded, thus alternating ranks and sustaining the rifle fire.",The commanding soldier demanded after each firing that the rank be reloaded. ,entailment,entailment
So I guess they went that far.,They went as far as I knew they would.,-,neutral
"Last year, you gave us a contribution of $xx, for which we, and the people you helped, are grateful.",That money you gave us last year got spent on booze and porn parties.,contradiction,neutral
Sarah hung out with another family in the neighborhood.,Sarah spent time with her sister.,neutral,neutral
Each prospective and current program is evaluated on the basis of its support of one or more aspects of women's needs.,Every program in the YWCA is judged on how well it helps women.,entailment,neutral
The music industry.,The film business.,contradiction,contradiction
"We are pleased to tell you of a very exciting development with the fund, which has reached a market value of $750,000.","The fund has a market value of $750,000 because we invested heavily in a ponzi scheme.",neutral,neutral
Please join with us to see that happy endings do continue.,Join us to watch the happy endings for moms and babies.,neutral,neutral
"A moment later, the clear, high-pitched sound of the whistle could be heard over the Rabbi's final shofar blast.",The whistle didn't make any sound.,contradiction,contradiction
"She has a cut, see?",She injured herself in the kitchen.,neutral,neutral
"Indeed, retailers like Wal-Mart Stores, Kmart Corporation, and Dillard's Inc. have been the driving forces behind changes in manufacturing and logistics systems in a way that was unheard of in Bond Stores' time.","Retailers have been the force behind changes in manufacturing and logistics systems,",entailment,entailment
So would a society.,A society would not.,contradiction,contradiction
The simplest is for one or more of the members to simply donate one million dollars to the IGGS Scholarship Fund.,The simplest is for one million dollars to be donated by one of the members to the IGGS Scholarship Fund. ,entailment,entailment
We are also organizing an IU Periodontal Alumni Association that we discussed in Dallas.,The U Periodontal Alumni Association will be based in Dallas. ,neutral,neutral
"W has illustrations (better than those in the Third Unabridged ); L has none, but it must be noted that other British dictionaries lack them also, so L need not have included them purely for competitive reasons in the main market it is intended to serve.",L doesn't have any illustrations in it ,entailment,contradiction
You do numbers real fast?,Are you really fast with numbers?,entailment,entailment
"These experiments in political Islam faltered during the 1990 the Iranian revolution lost momentum, prestige, and public support, and Pakistan's rulers found that most of its population had little enthusiasm for fundamentalist Islam.",Those in power in Pakistan learned their people weren't orthodox Islam.,entailment,neutral
"Let's see, recent authors You've probably never heard of any of these, but Gregory Benford is very good, these are science fiction, uh, see David Grant, science fiction that is real good.",David Grant only writes science fiction novels.,neutral,neutral
There was no hijack to report at 9:16.,As of 9:16 there wasn't a hijack to report.,entailment,entailment
"Notwithstanding the valuable role he plays in inspiring nonlinguists to think about language and in informing them about myriad facets of the subject, I find it hard slogging (or, as he would probably write,  sloguing ).","I have no trouble communicating facts about language to nonlinguists, but he struggles mightily.",contradiction,neutral
And they are less likely to cry and more likely to use gestures and words to express their desires than are infants whose parents delayed or failed to respond to their calls for help.,They are less likely to cry and more likely to use gestures.,entailment,entailment
"All that day, we didn't get up (off the floor).",We did not get up off the floor.,entailment,entailment
Please make checks payable to Indiana University Foundation.,Please write your check to Indiana University Foundation.,entailment,entailment
.. Defication of humankind as supreme. ,Humankind is not supreme. ,contradiction,entailment
"The so-called diskette is a flat black square of rather tough plastic with a hole in the middle and an oblong slot on each of the flat sides; it is said to be 5 inches square, but that is a  as the only person who probably ever measured one of these things, I can tell you it is 5 3/16 inches square; that may seem irrelevant, but it is only the beginning of the Great Deception.","Diskettes are not used any more,.",neutral,neutral
Are your parents putting a lot of pressure on you?,Is the pressure from your folks stressing you out?,neutral,neutral
Two of them told me yesterday that as a group they decided they had to earn the right to ask others for help by accomplishing something real to help themselves.,"In order to earn the right to ask for help, they decided to accomplish something on their own.",entailment,contradiction
The outcome left Bin Ladin indisputably in charge of what remained of the MAK and al Qaeda.,Bin Ladin was in charge of what was left of al Qaeda.,entailment,entailment
" No, he is a hijack.",Terrorists from the middle east have hijacked the plane.,neutral,neutral
"For as long as he needs it, Goodwill will continue to help.",Goodwill chooses 50 cases such as this annually to support.,neutral,neutral
"As a member of the Law Alumni Board (Board of Visitors) you are quite well acquainted with the programs, progress and problems of the law school.",As a member of the Law Alumni Board you know a lot about the problems of the school. ,entailment,entailment
"At 9:03, they would see another aircraft strike the World Trade Center.",They saw another airplane hit the World Trade Center at 9:03.,entailment,entailment
"In addition, gifts provide essential support in a number of other areas, including recruitment of new faculty members and students, maintaining our Career Services office, securing guest speakers, supporting the school's commencement and publications","Gifts are essential for providing support, including maintaining offices, recruiting guest speakers, and hiring new faculty.",entailment,entailment
"Admittedly, there is no such thing as perfect synonymy, but the meanings of many pairs of words are close enough for this term to be used in the context of a pastime like crosswords.",Crossword games are a testament of the versatility and flexibility of linguistic synonymy.,neutral,neutral
"Twenty-three when he arrived in Afghanistan in 1980, Bin Ladin was the seventeenth of 57 children of a Saudi construction magnate.",He was ten when he entered Afghanistan in 1990.,contradiction,contradiction
"My prize example was uttered by the incomparable Cher, during a morning-show interview.",Cher announced my prize.,entailment,neutral
"At last, he has found success in a job that he loves.","At last, he retired and stopped working a job that he hates.",contradiction,contradiction
"The disadvantage of this kind of machine is that it makes seams that are not as secure as the lockstitch; in addition, the appearance of the seam from the top and bottom of the fabric is different.",This machine makes seams that are more secure than the lockstitch.,contradiction,contradiction
"Such fund are often used for college tuition, vocational training or a deposit on an apartment.",The funds can be used for a variety of things.,entailment,entailment
Men's clothing has generally been made in long production runs with only small variations among styles in a given year and relatively little change from year to year.,This worked for retailers because men's fashions were largely uniform.,neutral,neutral
"Throughout much of the post-World War II era, the majority of men's shirts sold in the United States were white dress shirts, primarily through department stores.",The white dress shirts were the most comfortable to wear.,neutral,neutral
Enclosed is a form you can complete and return to us in the postage-paid envelope.,Within is a document that you can fill out and send back with the postage paid envelope.,entailment,entailment
"So, it's like she, uh, and the education wasn't the same back in those days.",The education was the exact same as it was in the past.,contradiction,contradiction
"In the 95 paper, I extend Tuleja my sympathies.",I am sorry for Tuleja.,entailment,neutral
Please donate today.,Donate today please.,entailment,entailment
"And they put out the, the word that yes, they had killed him.",They had killed him was the message being spread around.,entailment,entailment
"Partnership with YMCA of Liberia - In 1998, we continued our efforts to help the YMCA of Liberia re-establish after 7 years of civil war.",It is expected that recovery will take a decade. ,neutral,neutral
The supervisor instructed the controller to follow standard procedures for handling a no radio aircraft.,The controller was told to take abnormal steps for the aircraft.,contradiction,contradiction
"Additionally, there is a tremendous need to upgrade the technological infrastructure of the school.",The technological infrastructure of the dental school is currently state-of-the-art. ,contradiction,neutral
"go off half cocked Muzzleloaders, then as now, had a half cock, or safety position, for a gun's hammer that partially back-locked the trigger mechanism so that the weapon could not be fired.",A gun's hammer does not connect to the trigger component.,contradiction,entailment
"There is no arguing with taste, but even those who support the second tenet must admit that if researchers felt that way about cancer, syphilis, and AIDS, there would not be much point to research at all.","Researches disagree with the second tenet when it comes to cancer, syphilis, and AIDS research.",-,entailment
"We are leaders in the bar, business, government, and community affairs.",We are the dregs of the community affairs and we know it.,contradiction,contradiction
"It had been publicly declared years earlier, most notably in a declaration faxed early in 1998 to an Arabic-language newspaper in London.",It was brought up before in a newspaper in London.,entailment,entailment
"Last year a small number of alumni each contributed between $2,500 and $4,999 to the school.","A few alumni contributed between $2,500 and $4,999 last year.  ",entailment,entailment
"She reported that the pilot had announced that the flight had been hijacked, and she asked her husband what she should tell the captain to do.",She said the pilot told them they'd been hijacked by an Iraqi man.,neutral,neutral
"Even after controlling for the independent effects of firm size, product mix, and distribution channel on performance, we found that the most innovative firms were significantly more profitable than those that had adopted fewer of the key practices.",Innovation does not lend positive benefit.,contradiction,neutral
We were staying here in Albemarle.,"Believe it or not, we never really spent much time in Albemarle.",contradiction,neutral
"After being in and out of Egyptian prisons during the 1980s, Abdel Rahman found refuge in the United States.",Abdel Rahman took refuge in North America after living in and out of Egyptian prisons. ,entailment,entailment
An endowed chair will greatly benefit the IU School of Dentistry in recruiting and retaining outstanding faculty.,A endowed chair won't help the indiana school of dentistry at all. ,contradiction,contradiction
"As technology advances, life imitates art.",Art imitates life.,contradiction,entailment
"Gowers, himself an Englishman, said that  in Scotland, its land of origin, the pronunciation is skawn , and English people who know this so pronounce it. ",Gowers is a Frenchman so he doesn't know how English people say it.,contradiction,contradiction
"And he said, Ma'am, he said, what did the guerrillas that were there eating do with themselves?",He asked the girl what the guerrillas were up to. ,entailment,neutral
"Over time, their policies- repression, rewards, emigration, and the displacement of popular anger onto scapegoats (generally foreign)-were shaped by the desire to cling to power.",Their policies over time were driven by their thirst for power.,entailment,entailment
"Lush, green fields that stretched for miles, wisps of white clouds scattered across a clear, blue sky, tranquil silence broken only by cheerful bird songs, the fresh, sweet scent of morning air.",The fields were full of strawberry crops.,contradiction,neutral
"Notice how Alison's imagination ranges far beyond the immediate play props before her'a tea set, a toy truck, and an ambulance.",Notice how Alison's imagination involves abstract concepts. ,neutral,contradiction
A manager at the Herndon Command Center asked FAA headquarters if they wanted to order a nationwide ground stop.,A ground stop was important to national security.  ,neutral,neutral
A small capital in Czechoslovakia ,The capital of Czechoslovakia is situated on a plain.,neutral,neutral
From that point of view the differing interpretations Mr. Anson and I read into the passage are of secondary importance.,The differing interpretations are of upmost importance and cannot be overlooked.,contradiction,contradiction
"But under rapid replenishment arrangements, the inventory risk is now assumed by the apparel manufacturer; consequently assembly time is now very important.",Rapid replenishment arrangements puts inventory risk on the vendor.,contradiction,entailment
Such a short-cycle production system adds to the cost of customized apparel.,Customized apparel has a lot of costs associated with it.,entailment,neutral
I am pleased to tell you that we have had a positive response to the letter.,We have had a good response to the letter. ,entailment,entailment
Two minutes later the transponder was turned off and even primary radar contact with the aircraft was lost.,The aircraft took 5 more minutes for the transponder to turn off.,contradiction,neutral
The groundwork for a true global terrorist network was being laid.,The terror network was never actually brought to fruition.,neutral,neutral
