premise,hypothesis,gold_label,predicted_label
"In this case, shareholders can pay twice for the sins of others.",shareholders can't pay twice for the sins of others.,contradiction,contradiction
"What are you going to do about it?"" Tuppence frowned severely.",Tuppence wanted to know what the plan was?,neutral,entailment
"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.,entailment,entailment
Then he is very sure. ,He is not at all sure.,contradiction,contradiction
the net cost of operations.,That's the operational cost.,entailment,entailment
Isn't a woman's body her most personal property?,Women's bodies are not their own property. ,contradiction,contradiction
The campaigns seem to reach a new pool of contributors.,The campaign drew in a new crowd of funders ,entailment,entailment
The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.,The Celts did not arrive until the start of the sixth century.,contradiction,contradiction
"Similar conclusions have been reached by state legal needs' studies in a dozen states including Florida, Georgia, Hawaii, Illinois, Indiana, Kentucky, Maryland, Massachusetts, Missouri, Nevada, New York, and Virginia, using a variety of methodologies for estimating the unmet legal needs of the poor.", Similar conclusions have been seen across the world,neutral,neutral
do you do you put it in the refrigerator then or you,Do you put it in the refrigerator after mixing it?,neutral,entailment
Then I considered.,I refused to even consider it.,contradiction,contradiction
"Traffic, also, has been controlled, and if you're staying here you might want to consider getting around by bicycle; there's no better way to explore an island that measures no more than 20 km (121.2 miles) from end to end, one-fifth the size of Ibiza.",The island is smaller than Ibiza and can be traversed by bicycle.,entailment,entailment
He'd gone a long way on what he'd found in one elementary book.,He learned a lot from that elementary book.,neutral,entailment
"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414.",Section 414 helps higher allowance allocations for each unit.,contradiction,contradiction
"He was of two minds, one reveled in the peace of this village.",The village was full of violence.,contradiction,contradiction
"His fantastic body could heal itself against whatever they did to him, and his mind refused to accept the torture supinely.",His weak body could not heal itself against the tiniest scratch.,contradiction,contradiction
China's civil war sent distressing echoes to Hong Kong.,Japan fought a civil war.,contradiction,contradiction
Exhibitions are often held in the splendid entrance hall.,The exhibitions in the entrance hall are usually the most exciting.,neutral,neutral
"A member of the only student-run chapter of the American Civil Liberties Union in New York state, Zelon worked to resolve disputes between students and police officers to help protect the public's right to peaceful protest.",Zelon is not run by students in New york state.,contradiction,contradiction
There were maybe three hundred people present.,Only 3 people came.,contradiction,contradiction
which they probably Mexican people don't even know what a taco salad is but i think it's now it's moving up too because uh just a change you know just something different,"Taco salad isn't a traditional Mexican dish, but it's becoming one because of cultural movement.",entailment,entailment
oh thank God i've never been to Midland,Midland is a crap hole so I am glad that I have never been there. ,neutral,neutral
but we're taking our time we're going uh try to make our decision by July,We are in no rush to make a decision.,entailment,entailment
"The park on the hill of Monte makes a good playground, while the ride down in a wicker toboggan is straight out of an Old World theme park (though surely tame for older kids).","the park on the hill in Monte has a good playground, but may not be as exciting for older kids.",entailment,entailment
The Palace of Jahangir is built around a square court with arches.,There is a court with arches in the Palace of Jahangir.,entailment,entailment
"You and your friends are not welcome here, said Severn.",Severn said the people were always welcome there.,contradiction,contradiction
yeah i'm trying to find out how long we're supposed talk,We have to talk for exactly two minutes.,neutral,entailment
the only thing that they had a great abundance of was uh you know human beings,They had few other resources.,neutral,neutral
LASNNY is one of the oldest and most cost-effective legal services organizations in the United States.,LASNNY is an old legal services organization.,entailment,entailment
"The increased investment has contributed to higher GDP growth in recent years, and the stronger economy should help in servicing the debt owed to foreigners.","Higher GDP growth in recent years has been contributed to increased investment, which made the people happy to have a great economy. ",neutral,entailment
You have to walk through it).,Walking is the best way to get through it.,entailment,entailment
"Perhaps all we can say of great acting is that it involves assimilation rather than accumulation, that the performer isn't so much a surrogate as a vessel.",A mediocre performer with a lot of roles can still be considered great.,contradiction,contradiction
"June 21, 1995, provides the specific requirements for assessing and reporting on controls.",There are no specific requirements for assessment.,contradiction,contradiction
Just look at the entertainment industry's self-image instead.,"Instead, take a look at the entertainment industry and its self image. ",entailment,entailment
The tree-lined avenue extends less than three blocks to the sea.,Most of the trees are palm trees.,neutral,neutral
"As he stepped across the threshold, Tommy brought the picture down with terrific force on his head.",Tommy stepped across a threshold and put a picture down on his head.,entailment,entailment
Respondents to the Board's question on whether the alternatives of presenting costs of Federal mission PP&amp,The board had no questions about the alternatives of presenting federal costs.,contradiction,contradiction
ooh that does get high yeah i mean,That does get high because you want so many different extras.,neutral,entailment
"The loss of technical competence through downsizing was sufficiently pervasive that FFC, in conjunction with TBR and the NAVFAC, conducted the Government/Industry Forum on Capital Facilities and Core Competencies in March 1998.",The FFC conducted the Government/Industry Forum in March 1998 ,entailment,entailment
"While headquarters staffing is to be streamlined, the staffing levels at the ports are to be maintained or increased.",Headquarters staff is increased and port staff streamlined. ,contradiction,contradiction
She shrugged.,She acted like it didn't matter.,neutral,neutral
"Despite all the hoopla over a pro-choice advocate's confession that he had lied about the circumstances under which the procedure is generally used, only five lawmakers switched their votes from no to yes.",100 lawmakers switched their votes from no to yes upon learning that the advocate had lied about the circumstances of the procedure.,contradiction,contradiction
"We come to a little difficulty here, since Mrs. Inglethorp never drank it.""",Mrs. Inglethorp definitely drank it. ,contradiction,contradiction
"But they persevered, she said, firm and optimistic in their search, until they were finally allowed by a packed restaurant to eat their dinner off the floor.",They were allowed to eat on the floor of a restaurant.,entailment,entailment
uh uh yeah that well um the older you get the more convenience you try to bring with you i guess so i'm up to dragging the trailer around which is my next step is going to be probably Winnebago i hope if i only can afford one but that,"The older you get, the more you want conveniences like a comfy bed.",neutral,entailment
"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",The media chastises users for picking unsafe passwords and system administrators for not implementing effective security precautions.,entailment,entailment
Numbers began wafting about on the  I'd say at least five,The numbers were coming around.,entailment,entailment
"Harlem was our first permanent office, he said. ",Harlem was the last permanent office ,contradiction,contradiction
"With an area of just 541 sq km (209 sq miles), it is slightly smaller than the Isle of Man or twice Martha's Vineyard in Massachusetts.",Martha's Vineyard is less than half the size of the Isle of Man.,entailment,contradiction
"The formation of a single statewide program was adopted to breathe life into a single program that will provide meaningful access to high quality legal services, in the pursuit of justice for as many low-income people throughout Colorado as possible.",The program makes it so that low-income plaintiffs can find legal representation.,entailment,neutral
yeah uh-huh yeah it's one of the things uh if you read in the newspapers and stuff he's the critics really like it or they really don't, The critics either like or really dislike that one but I liked it ,neutral,entailment
"And, for the rest of the way home, I recited to them the various exploits and triumphs of Hercule Poirot. ",I recited to them the various exploits and triumphs of Hercule Poirot for approximately 2 hours.,neutral,neutral
yeah i went to i went to uh Rice and we had the marching owl band which is quite a it's not known for its musical abilities more so its um comedy abilities,The marching owl band was known for its comedy abilities.,entailment,entailment
i don't know she said they go crazy,"They lose their minds when exposed to the virus, according to her.",neutral,entailment
"A Newsday story on this incident reports that, Toobin said through a Random House spokesman ...",Toobin did not want to talk directly to them.,neutral,neutral
"Later, Tom testified against John so as to avoid the electric chair.","He was reluctant to do so because he knew John was innocent, but he had no choice if he wanted to live.",neutral,neutral
"These latter vast regions of forests, rivers, and mountains border the Indonesian state of Kalimantan and the oil-rich sultanate of Brunei.",The sultanate of Brunei borders the Indonesian state of Kalimantan.,neutral,neutral
"However, in the off-field (sentimental) tournament, the Falcons and Jets have more appealing story lines.",The Jets and Falcons have boring stories.,contradiction,contradiction
"They were quite, tetanic in character.""",They were very relaxed.,contradiction,contradiction
"What a brilliantly innocuous metaphor, devised by a master manipulator to obscure his manipulations.",The simile was created by the manipulator.,-,neutral
Many Greeks in Asia Minor were forced to leave their homes and brought an influence of eastern cadences with them.,The poor Greeks shouldn't have had to leave their homes. ,neutral,neutral
But she's not like her photo one bit.,She looks exactly how I pictured her and she's exactly the girl in the photo. ,contradiction,contradiction
"Favored by the Ancient Egyptians as a source of turquoise, the Sinai was, until recently, famed for only one event but certainly an important one.",The Sinai was a source of gold for the Ancient Egyptians.  ,contradiction,contradiction
"When a GAGAS attestation engagement is the basis for an auditor's subsequent report under the AICPA standards, it would be advantageous to users of the subsequent report for the auditor's report to include the information on compliance with laws and regulations and internal control that is required by GAGAS but not required by AICPA standards.",The report is required by GAGAS but not AICPA.,entailment,entailment
"Oh, I I haven't quite worked that out.",I have figured it all out.,contradiction,neutral
On the Use of Generalized Additive Models in Time-Series Studies of Air Pollution and Health.,Pollution does not occur in the air. ,contradiction,contradiction
"I feel that you probably underestimate the danger, and therefore warn you again that I can promise you no protection.","I feel that you do not underestimate the danger, and therefore I do not need to warn you.",contradiction,contradiction
How did this man know?,The man knew something.,entailment,contradiction
"In an effort to more thoroughly explore this topic, we expanded our discussions beyond the eight organizations that were the primary subjects of our study by requesting the Computer Security Institute to informally poll its most active members on this subject.",We are discussing this topic with more than just the original organizations.  ,entailment,entailment
he's not a starter,He always plays in the middle or towards the end.,neutral,entailment
is there still that type of music available,I could care less if the music still existed.,contradiction,contradiction
With him was the evil-looking Number 14.,Number 14 was with him.,entailment,entailment
His heels clicked together.,He clicked his heels together for some reason.,neutral,neutral
"In 392 the Emperor Theodosius proclaimed Christianity to be the official religion of the Roman Empire, and on his death in 395 the empire was split once more, between his two sons, and was never again to be reunited.","The empire was split between two sons, who fought endlessly, and so the empire was never again reunited.",neutral,neutral
It means that they gather and interpret their material fairly and argue about its interpretations rationally.,The material is gathered hastily and is argued about irrationally.,contradiction,contradiction
"The chain swung again, hitting her arm and sending the palm knife into the crowd.",The chain hit the woman's arm.,entailment,entailment
"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city has a lot of banks and other types of financial institutions. ,entailment,neutral
Recommendations,staff recommendations,neutral,contradiction
"That first glimpse of the towering, steepled abbey rising from the sea on its rock is a moment you will not forget.",The sight of the abbey atop a rock in the sea is a stunning view.,entailment,entailment
"From ethnic food shops and vintage clothing stores to electronics and book shops, there are so many interesting shopping spots that it is hard to imagine their breadth and depth.",There are so many places to shop that you can find anything you need.,entailment,neutral
However the Postal Service did provide as much detail as is collected a volume distribution by transportation mode and shape for sixty individual countries.,The Postal Service failed to provide as much detail.,entailment,contradiction
yeah i know because uh all i know is that when i came here in eighty seven they still had uh it was the last year to to put all your punch cards in,"By the time I came here in eighty seven, punch cards were no longer required.",contradiction,entailment
yeah i think i'll probably just have to go with one of those splint braces or something,I don't need a splint brace. ,contradiction,contradiction
"In addition, special service areas are funded for two populations with special needs - Native Americans and migrant workers.",Native Americans and migrant workers do not have any special areas. ,contradiction,contradiction
did you well it's not just that are there enough jobs for people here now,it's not just that the new factories have brought a lot of jobs to town,neutral,entailment
I mustn't keep you.,I should not keep you.,entailment,entailment
and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.,entailment,entailment
Do you think I should be concerned?,Do you think it is a problem?,entailment,entailment
"There's nobody telling that landlord to fix the property, Simmons said. ",The property suffered from a leaking roof and substandard plumbing.,neutral,neutral
i spent a number of years in the service as an intelligence analyst,I was only briefly in the service as a driver.,contradiction,contradiction
uh we've gotten a little Atari computer uh husband describes it as a a computer with training wheels,We do not own an Atari and never have. ,contradiction,contradiction
"Here you'll see the delightful but slowly disappearing indigenous FWI costume madras turban, madras skirt over petticoat, silk peplum, white blouse, and gold earrings, bracelets, and collier-choux necklace.",FWI's indigenous costume is disappearing because young people prefer to wear T-shirts and jeans.,neutral,neutral
"Even today, Yanomamo men raid villages, kill men, and abduct women for procreative purposes.",Yanomamo eats food.,neutral,contradiction
GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.,The GAO's website is extremely slow and hard to navigate. ,neutral,contradiction
You have to have good peripheral vision and you have to really concentrate.,"If one get's distracted, it's very easy to make a fatal mistake. ",neutral,neutral
and uh my daughter gets irate when i when i do that because you know she's a teenager,My daughter does sometimes have reason to be upset.,neutral,entailment
2) This particular instance of it stinks.,It is a terrible situation. ,entailment,entailment
… I succeeded in my false career.,I failed in my false career.,contradiction,contradiction
they they are good,There are better ones out there.,neutral,neutral
"Unrest and some political extremism have surfaced from time to time, but since aid from France is so vital, and French customs so ingrained, it seems almost inconceivable that the FWI will seek total independence as other Caribbean islands have done.",There is a great deal of political extremism.,-,entailment
they really do i i sometimes think that that should be limited more,"No, I do not think they need any additional limits.",contradiction,contradiction
"Until the late '60s, the Senate was deferential to the (many fewer) presidential nominees.",The Senate was respectful of the presidential nominees.,entailment,entailment
Tuppence seized the bell and Jane the knocker.,Tuppence and Jane waited before entering the room.,neutral,neutral
"It will be held in the Maryland woods, and the telecast will consist of jittery footage of the contestants' slow descent into madness as they are systematically stalked and disappeared/disqualified by Bob Barker.",The show will be set in the woods north of Boston.,contradiction,contradiction
Decline and Decadence,Decline and decadence have a direct correlation. ,neutral,neutral
It must be a difficult situation for you all.,There are a lot of hindrances to overcome.,neutral,neutral
The Star reports that actress Jodie Foster is pregnant through artificial insemination.,It has been reported by The Star that Jodie Foster is not pregnant,contradiction,contradiction
"But to you, who know the truth, I propose to read certain passages which will throw some light on the extraordinary mentality of this great man."" He opened the book, and turned the thin pages.","Two of the thin pages stuck together as he leafed through them, and he paused to separate them carefully. ",neutral,neutral
"On a scale of 0 (strongly disagree) to 7 (strongly agree) the statement alcoholics are difficult to treat received a mean score of 6.25, and the statement alcoholism is a treat-able disease received a mean score of 5.27.",Alcoholics are only difficult to treat if they are angry when intoxicated.,neutral,contradiction
"He went down on his knees, examining it minutely, even going so far as to smell it. ",He examined it upon his hands and knees. ,entailment,contradiction
STANDARD COSTING - A costing method that attaches costs to cost objects based on reasonable estimates or cost studies and by means of budgeted rates rather than according to actual costs incurred.,Standard Costing was applied to the ledger.,neutral,neutral
"After the recovery of Jerusalem in 1099, it took four hundred years of sieges and battles, treaties, betrayals, and yet more battles, before Christian kings and warlords succeeded in subduing the Moors.",The Moors were able to subdue the Christian kings after just a decade of war.,contradiction,contradiction
The way we try to approach it is to identify every legal problem that a client has.,We try to focus on the first legal problem in front of us.,contradiction,contradiction
uh somewhat they're not my favorite team i am uh somewhat familiar with them,They are my favorite team and I know everything about them.,contradiction,entailment
"Since the system would automatically verify all receipts and acceptances prior to invoice payment authorization, there would be no need to authorize payment prior to verification of receipt.",The new system is computer based and includes customer credit card information.,neutral,neutral
Numbers began wafting about on the  I'd say at least five,The numbers were coming around.,entailment,entailment
"Alonissos has been settled longer than any other Aegean island, estimated by archaeologists to date from 100,000 b.c. , and was valued by many leaders in classical Greek times.",Other Aegean islands were settled on before Alonissos.,contradiction,neutral
The National Football League semifinals are set.,The dates for the semifinals have been determined.,entailment,neutral
You have to have good peripheral vision and you have to really concentrate.,"If one get's distracted, it's very easy to make a fatal mistake. ",neutral,neutral
"Ah, ma foi, no! replied Poirot frankly. ",I asked Poirot if he liked cats and he said no. ,neutral,neutral
"No, monsieur.","Yes, mademoiselle.. ",contradiction,entailment
uh right now we're actually having uh it's getting nice i mean it was in the high fifties today but three and a half weeks ago we had an ice storm,The weather has been getting warmer in the past few weeks.,entailment,neutral
get something from from the Guess Who or,"Get something from the Guess Who,",entailment,entailment
um something that i i think that i've noticed that i i have a friend i think if you're going into like uh law or medicine a very particular very specific field even even engineering you can get you can meet a lot of the requirements at a public um institution,"Law,medicine or engineering students often can't get a job",contradiction,entailment
"The most comfortable way to see these important Hoysala temples is to visit them on either side of an overnight stay at Hassan, 120 km (75 miles) northwest of Mysore.",Do not book a hotel in Hassan as it is not near the Hoysala temples.  ,contradiction,contradiction
Too bad it chose to use McIntyre instead.,McIntyre was picked to be used as the closing pitcher.,neutral,contradiction
The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people as the researchers expected.,entailment,neutral
"Nonetheless, the rationality of service tiers remains.",Rationality of service tiers continues on.,entailment,entailment
"On Samothrakia you can climb to the summit of Mount Fengari, where the God Poseidon watched the Trojan War reach its tragic climax.",Poseidon was at the summit of Mount Fengari with a view of the climax of the Trojan War.,entailment,neutral
"On a December day in 1917, British General Allenby rode up to Jaffa Gate and dismounted from his horse because he would not ride where Jesus walked; he then accepted the surrender of the city after the Ottoman Turks had fled (the flag of surrender was a bed-sheet from the American Colony Hotel).","In 1917, the Brittish General Allenby surrendered the city using a bed-sheet before committing suicide.",contradiction,neutral
ENVIRONMENTAL PROTECTION AGENCY,Agency which is responsible for the destruction of the environment.,contradiction,contradiction
'Would you like some tea?',Are you thirsty for iced tea?,neutral,entailment
Revenue is recognized from forfeited property unless the property is distributed to state or local law enforcement agencies or foreign,Revenue is spent on forfeited property.,contradiction,contradiction
yeah and they've got those bins that just stay there and they decorated them real cute you know with a bunch of big old flowers and stuff,"The bins just stay there and are decorated, I'm not sure if the decorations help.",neutral,entailment
Where alternative country runs into trouble is its tendency to ignore what's durable about country in favor of its stereotypical hay-bales-and-whiskey-bottles shtick.,Alternative country is becoming more popular than the more stereotypical country.,neutral,contradiction
oh yeah well i play softball a couple of times a year it's they're getting ready to start up the the season again,They play softball all times of the year,contradiction,neutral
The large scale production of entertainment films is a phenomenon well worth seeing several times.,The production of entertainment films is elaborate and large scaled.,entailment,entailment
Abortive countrywide revolts,The unrest could be stopped quickly.,neutral,contradiction
you know like CODA comes out of your out of your pay and the credit union comes out of your pay so we don't have to do anything there and the rest of it as far as my salary goes i just have it automatically deposited in into our bank,What remains of my salary goes into our bank.,entailment,entailment
"And Doctor Perennial just stood there and when the evil drill sergeant woke up in him once again, he received an SMs.  ",Doctor Perennial was standing when the evil drill sergeant woke up. ,entailment,entailment
Their ideas and initiatives can be implemented at the local and national levels.,Their ideas can be applied in schools and churches.,neutral,contradiction
The Implementation of National and European Legislation Concerning Air Emissions from Large Combustion Plants in Germany,Germany has large combustion plants.,entailment,entailment
well Dana it's been really interesting and i appreciate talking with you,"Dana, this conversation bored me.",contradiction,contradiction
"Well, she's found.",She has been discovered.  ,entailment,entailment
It profiles a new kind of office superstore-cum-hotel that sells generic office space to lonely telecommuters.,Telecommuters buy generic office space.,-,neutral
(Imagine the difference between smoking a cigarette and injecting pure nicotine directly into a vein.),Smoking a cigarette is a lot like injecting pure nicotine.,neutral,contradiction
isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in Wylie and i could see downtown Dallas,I have only been here for two years.,contradiction,contradiction
"Sainte-Anne itself has a long, broad beach used not only by fishermen in vividly painted boats, but also by families with small children.",The families attending the beach of Sainte-Anne commonly purchase seafood meals from the fishermen as they return with their catch.,neutral,contradiction
And she came to you?,The person asked if the woman came to him.,entailment,entailment
Postal Service could increase those same rates by at least 13.,The Postal Service would like to see the rates even higher than that.,neutral,contradiction
Ricky Martin was filming his triumphant return to the gay porn industry.,Ricky Martin is a gay porn star.,entailment,neutral
"The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.",There is nothing on the slopes between Vosges and Rhine Valley.,contradiction,contradiction
"Guangzhou, with a population of more than 5 million, straddles the Pearl River China's fifth longest which links the city to the South China Sea.",There are no major rivers in China.,contradiction,contradiction
um well i hate to yes i do,I really love to. ,contradiction,contradiction
"A chancy road winding up to the 475-metre (1,560-foot) summit is likely to test the engine and suspension of your car, as well as your own persistence.","The precarious road leading to the 1,560-foot summit is likely to test your persistence, and also the engine and suspension of your car.",entailment,entailment
Climate changes had already had the effect of reducing the amount of forest land; the monks accelerated this process by clearing many more acres in order to make room for ever-growing herds of sheep.,The effect of reducing the amount of forest land is habitats will be destroyed.,neutral,neutral
"As it is now, Web companies not only have the ability to provide diabolically precise demographic targeting to political campaigns, they can also make such offers exclusively.",Web companies use this advantage to assist those politicians that they prefer for office. ,neutral,neutral
we wouldn't be expected to cast a ballet on the subject,We have been asked to vote on the subject.,contradiction,entailment
and the professors who go there and you're not going to see the professors you know you're going to see some TA you know uh,You're going to see the TAs more than the professors.,entailment,entailment
"In the short term, U.S. consumers will benefit from cheap imports (as will U.S. multinationals that use parts made in East Asian factories).","U.S. consumers benefit from imports, while East Asian factories suffer.",neutral,entailment
um-hum they keep you entertained they sure do we have a uh my wife's uh mother is uh oh about  seventy seven i guess she really gets a thrill when we go over to see her and bring the dog i think she's more happy to see the dog than she is us,My wife's mother owns three dogs and loves ours too. ,neutral,neutral
i ripped the ligaments in my right ankle,"i narrowly avoided injuring my right ankle, luckily",contradiction,contradiction
"In DOD's current acquisition environment, the customer is willing to trade time and money for the highest performing weapon system possible.",Having the highest performing weapon system is of paramount importance being prioritized above time and money.,entailment,entailment
uh high humidity,"Warm, sweaty temperatures.",entailment,entailment
"Last year, Arafat cracked down on Hamas after a string of bombings in Tel Aviv and Jerusalem, arresting more than 1,200 suspected terrorists, destroying Hamas safe houses, and confiscating its weapons caches.",Arafat stood back and watched Hamas attack Tel Aviv and Jerusalem.,contradiction,contradiction
"At the delta of the Rh??ne, where its two arms spill into the Medi?­ter?­ra?­nean, the Camargue has been reclaimed from the sea to form a national nature reserve.",The Camargue has forever been lost to rising sea levels thanks to warming-induced climate change,contradiction,contradiction
it's so bad wanted to mow today i was off and i wanted to mow the yard but just walking across it it's still so mushy if i took a mower out there i'd tear the sod up so bad,The lawn mower will sink into the mushy lawn and pull up the grass. ,entailment,contradiction
"Vaikuntaperumal is a Vishnu temple of the same period, famous for its elevated colonnade of lively sculpted reliefs showing the many exploits of the Pallava kings.",The sculpture reliefs in the temple depict only mythological characters.,contradiction,contradiction
"Try a selection at the Whisky Heritage Centre (they have over 100 for you to sample), where you can then buy a bottle or two of your personal favorite in the shop or in stores around the city.",Whisky Heritage Centre was shut down during prohibition.,neutral,contradiction
"The governing statute provides that a committee consisting of the Comptroller General, the Speaker of the House and President Pro Tempore of the Senate, the Majority and Minority leaders, and the Chairmen and Ranking Minority Members of the Senate Governmental Affairs and House Government Reform Committees recommend an individual to the President for appointment.",No one can recommend an individual to the President for appointment.,contradiction,contradiction
"Through the Web site, a total of 1,634 associates donated nearly $200,000 to Legal Aid in 2002.","1,634 associates gave money to Legal Aid through their site.",entailment,entailment
they really do i i sometimes think that that should be limited more,I sometimes believe that they should be more limited.,entailment,entailment
The entire city was surrounded by open countryside with a scattering of small villages.,There is only one large village in the countryside. ,contradiction,contradiction
"On a scale of 0 (strongly disagree) to 7 (strongly agree) the statement alcoholics are difficult to treat received a mean score of 6.25, and the statement alcoholism is a treat-able disease received a mean score of 5.27.",Nobody agreed that alcoholics were difficult to treat or that alcoholism was a treat-able disease.,contradiction,contradiction
"Each edition of the DSM is the product of arguments, negotiations, and compromises.",Many arguments and negotiations go into each edition of DSM.,entailment,entailment
"The formation of a single statewide program was adopted to breathe life into a single program that will provide meaningful access to high quality legal services, in the pursuit of justice for as many low-income people throughout Colorado as possible.",The state has decided to divide its legal assistance services into several programs.,contradiction,contradiction
"If she didn't like her restaurant so much, the woman'd be high-up in Applied by now.",She liked her restaurant a lot.,entailment,entailment
These alone could have valuable uses.,They aren't valueable. ,contradiction,contradiction
"[W]e have a book worthy of its subject--graceful, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship, says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)",The woman did not recommend anyone read the book.,contradiction,neutral
right and uh there's usually nobody running against you know the incumbents,There are numerous candidates running against the incumbents.  ,contradiction,contradiction
"Also, why Princess Di was like President  The public cared more about her empathy than about her actions.",The public cared more about her actions than her empathy.,contradiction,contradiction
Adrin nodded.,Adrin nodded his head.,entailment,entailment
Among the disadvantages are that the degree of innovation and product differentiation might continue to be limited.,Limited innovated will be a major advantage for our firm. ,contradiction,contradiction
"Despite its initial failings, Siegel's Flamingo survived him, as did mob infiltration of casinos.",Siegel never failed once and was always considered very lucky.,contradiction,contradiction
"On Fox News Sunday , host Tony Snow touted a poll showing that 60 percent of Americans think the allegations represent a pattern of behavior.",Tony Snow was not able to show a poll showing the Americans thoughts on the allegations.,contradiction,contradiction
need the car the next day type deal so,You need the car to drive back to college.,neutral,neutral
yeah i mean this this Escort even when the head gasket went i mean it would start first time every time,The Ford Escort worked even with a blown head gasket.,entailment,entailment
The CEO and CFO's vision was to make Pfizer  the preeminent corporate finance organization in the industry.,The CEO wanted to increase Pfizer's standing in the world.,entailment,neutral
"The Joint Venture which has so amply justified itself by success!"" It was drunk with acclamation.",The Joint Venture had justified itself by success.,entailment,entailment
"If he were someone who was an assistant, with an ailing mother to support, well, it would be impossible.",It wouldn't be possible for him to be the assistant manager of Hardees if his mother was sick. ,neutral,entailment
He watched the river flow.,The riverbed was completely dry.,contradiction,contradiction
"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",The readers were fans of the author and looked forward to reading their new novel.,neutral,neutral
"But if you do, kill them.","If the situation is that, you should wait to kill them.",contradiction,contradiction
"This was used for ceremonial purposes, allowing statues of the gods to be carried to the river for journeys to the west bank, or to the Luxor sanctuary.",Statues of the Gods were carried by boat along the river.,entailment,entailment
"In addition, because funding is secured on an","If the funding isn't secured, there's no way to go on.",neutral,neutral
"Ah, yes, actually, two weeks ago we had a very similar situation, the captain alertly added and quickly changed the subject, 'What's important now is that you get ready for about 2 minutes in the state of weightlessness, and not some Slovakian satellite from two weeks ago.",The situation that happened two weeks ago was all that the captain ever wanted to talk about and he refused to change the subject. ,contradiction,contradiction
"As a result, an estimated four out of five low-income people requiring legal help in our community do not receive it.",The people with low incomes do not know what s available to them as far as legal help is concerned.,neutral,neutral
